country,confederation,teams,total_market_value,average_market_value,top_tier_important,top_tier_main,top_tier_supplementary,second_tier_important,second_tier_main,second_tier_supplementary,main_cup_important,main_cup_main,main_cup_supplementary,league_cup_important,league_cup_main,league_cup_supplementary,super_cup_important,super_cup_main,super_cup_supplementary,state_championship_important,state_championship_main,state_championship_supplementary
Morocco,CAF,16,132.85,8.3031,,C,,,,,,,,,,,,,,,,
Egypt,CAF,20,165.93,8.2965,,C,,,,,,,,,,,,,,,,
Peru,CONMEBOL,18,134.3,7.4611,,C,,,,,,,,,,,,,,,,
Slovenia,UEFA,10,73.8,7.38,,C,,,,,,,,,,,,,,,,
Australia,AFC,12,87.25,7.2708,,C,,,,,,,,,,,,,,,,
IR Iran,AFC,18,130.08,7.2267,,C,,,,,,,,,,,,,,,,
Venezuela,CONMEBOL,14,89.99,6.4279,,,,,,,,,,,,,,,,,,
Algeria,CAF,16,100.25,6.2656,,,,,,,,,,,,,,,,,,
Uzbekistan,AFC,16,97.36,6.085,,,,,,,,,,,,,,,,,,
Kazakhstan,UEFA,16,92.8,5.8,,,,,,,,,,,,,,,,,,
Latvia,UEFA,10,55.73,5.573,,,,,,,,,,,,,,,,,,
Lithuania,UEFA,10,55.33,5.533,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,UEFA,10,55,5.5,,,,,,,,,,,,,,,,,,
Bolivia,CONMEBOL,16,83.75,5.2344,,,,,,,,,,,,,,,,,,
Tunisia,CAF,16,83.28,5.205,,,,,,,,,,,,,,,,,,
Indonesia,AFC,18,93.42,5.19,,,,,,,,,,,,,,,,,,
Iraq,AFC,20,102.43,5.1215,,,,,,,,,,,,,,,,,,
Thailand,AFC,16,81.78,5.1113,,,,,,,,,,,,,,,,,,
Albania,UEFA,10,49.83,4.983,,,,,,,,,,,,,,,,,,
Georgia,UEFA,10,49.07,4.907,,,,,,,,,,,,,,,,,,
Armenia,UEFA,12,57.75,4.8125,,,,,,,,,,,,,,,,,,
Malaysia,AFC,12,55.33,4.6108,,,,,,,,,,,,,,,,,,
Belarus,UEFA,16,72.33,4.5206,,,,,,,,,,,,,,,,,,
Costa Rica,CONCACAF,10,44.53,4.453,,,,,,,,,,,,,,,,,,
Kosovo,UEFA,10,42.09,4.209,,,,,,,,,,,,,,,,,,
Malta,UEFA,12,47.77,3.9808,,,,,,,,,,,,,,,,,,
Finland,UEFA,12,46.95,3.9125,,,,,,,,,,,,,,,,,,
Republic of Ireland,UEFA,10,36.68,3.668,,,,,,,,,,,,,,,,,,
Vietnam,AFC,14,51.01,3.6436,,,,,,,,,,,,,,,,,,
Libya,CAF,28,95.23,3.4011,,,,,,,,,,,,,,,,,,
North Macedonia,UEFA,10,32.53,3.253,,,,,,,,,,,,,,,,,,
Guatemala,CONCACAF,12,38.81,3.2342,,,,,,,,,,,,,,,,,,
Singapore,AFC,8,24.24,3.03,,,,,,,,,,,,,,,,,,
Canada,CONCACAF,8,24.02,3.0025,,,,,,,,F,SF,,,,,,,,,
Montenegro,UEFA,10,28.4,2.84,,,,,,,,,,,,,,,,,,
Estonia,UEFA,10,28.08,2.808,,,,,,,,,,,,,,,,,,
Jordan,AFC,10,27.74,2.774,,,,,,,,,,,,,,,,,,
Honduras,CONCACAF,12,33.1,2.7583,,,,,,,,,,,,,,,,,,
Panama,CONCACAF,12,32.96,2.7467,,,,,,,,,,,,,,,,,,
Moldova,UEFA,8,21.94,2.7425,,,,,,,,,,,,,,,,,,
Oman,AFC,14,38.35,2.7393,,,,,,,,,,,,,,,,,,
El Salvador,CONCACAF,12,32.68,2.7233,,,,,,,,,,,,,,,,,,
India,AFC,13,34.95,2.6885,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,AFC,16,40.61,2.5381,,,,,,,,,,,,,,,,,,
Lebanon,AFC,12,30.06,2.505,,,,,,,,,,,,,,,,,,
Iceland,UEFA,12,29.42,2.4517,,,,,,,,,,,,,,,,,,
Andorra,UEFA,10,22.78,2.278,,,,,,,,,,,,,,,,,,
Northern Ireland,UEFA,12,25.9,2.1583,,,,,,,,,,,,,,,,,,
Uganda,CAF,18,37.72,2.0956,,,,,,,,,,,,,,,,,,
Tajikistan,AFC,12,22.68,1.89,,,,,,,,,,,,,,,,,,
Cambodia,AFC,11,19.29,1.7536,,,,,,,,,,,,,,,,,,
Ethiopia,CAF,18,31.43,1.7461,,,,,,,,,,,,,,,,,,
"Hong Kong, China",AFC,11,17.94,1.6309,,,,,,,,,,,,,,,,,,
New Zealand,OFC,11,17.07,1.5518,,,,,,,,,,,,,,,,,,
Faroe Islands,UEFA,10,15.06,1.506,,,,,,,,,,,,,,,,,,
Senegal,CAF,16,23.85,1.4906,,,,,,,,,,,,,,,,,,
Nicaragua,CONCACAF,10,13.38,1.338,,,,,,,,,,,,,,,,,,
Ghana,CAF,18,23.98,1.3322,,,,,,,,,,,,,,,,,,
Luxembourg,UEFA,16,21.07,1.3169,,,,,,,,,,,,,,,,,,
Fiji,OFC,10,13.09,1.309,,,,,,,,,,,,,,,,,,
Nigeria,CAF,20,25.3,1.265,,,,,,,,,,,,,,,,,,
Myanmar,AFC,12,14.23,1.1858,,,,,,,,,,,,,,,,,,
Bangladesh,AFC,13,15.07,1.1592,,,,,,,,,,,,,,,,,,
Wales,UEFA,16,16.57,1.0356,,,,,,,,,,,,,,,,,,
Gibraltar,UEFA,11,10.89,0.99,,,,,,,,,,,,,,,,,,
Philippines,AFC,10,9.17,0.917,,,,,,,,,,,,,,,,,,
Chinese Taipei,AFC,8,5.1,0.6375,,,,,,,,,,,,,,,,,,
San Marino,UEFA,16,9.87,0.6169,,,,,,,,,,,,,,,,,,
Laos,AFC,11,3.92,0.3564,,,,,,,,,,,,,,,,,,
Rwanda,CAF,18,4.86,0.27,,,,,,,,,,,,,,,,,,
Maldives,AFC,10,1.94,0.194,,,,,,,,,,,,,,,,,,
Dominican Republic,CONCACAF,8,1.18,0.1475,,,,,,,,,,,,,,,,,,
Bhutan,AFC,10,1.25,0.125,,,,,,,,,,,,,,,,,,
Jamaica,CONCACAF,14,0.85,0.0607,,,,,,,,,,,,,,,,,,
Brunei Darussalam,AFC,13,0.71,0.0546,,,,,,,,,,,,,,,,,,
Timor-Leste,AFC,10,0.49,0.049,,,,,,,,,,,,,,,,,,
Puerto Rica,CONCACAF,9,0.43,0.0478,,,,,,,,,,,,,,,,,,
Belize,CONCACAF,7,0.25,0.0357,,,,,,,,,,,,,,,,,,
Sri Lanka,AFC,10,0.25,0.025,,,,,,,,,,,,,,,,,,
