country,confederation,teams,total_market_value,average_market_value,top_tier_important,top_tier_main,top_tier_supplementary,second_tier_important,second_tier_main,second_tier_supplementary,main_cup_important,main_cup_main,main_cup_supplementary,league_cup_important,league_cup_main,league_cup_supplementary,super_cup_important,super_cup_main,super_cup_supplementary,state_championship_important,state_championship_main,state_championship_supplementary
England,UEFA,20,13160,658,O10 / S6 / C,S10 / T3 / C,full,,S4 / C,full,F,QF,top,F,QF,top,F,,,,,
Italy,UEFA,20,6080,304,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,SF,,,,
Spain,UEFA,20,5880,294,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,SF,,,,
Germany,UEFA,18,4930,273.8889,O10 / S5 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,,,,,
France,UEFA,18,3950,219.4444,O10 / S4 / C,S10 / T3 / C,full,,C,,F,QF,top,,,,F,,,,,
Portugal,UEFA,18,1830,101.6667,,S5 / C,full,,,,,F,R16,,F,QF,,F,,,,
Brazil,CONMEBOL,20,1970,98.5,,S5 / C,full,,,,,F,R16,,,,,F,,,F,SF
Türkiye,UEFA,18,1700,94.4444,,S5 / C,full,,,,,F,QF,,,,,F,SF,,,
Netherlands,UEFA,18,1300,72.2222,,S5 / C,full,,,,,F,R16,,,,,F,,,,
Saudi Arabia,AFC,18,1280,71.1111,,S5 / C,full,,,,,F,R16,,,,,F,SF,,,
Russia,UEFA,16,973.93,60.8706,,S5 / C,full,,,,,F,PQF,,,,,F,,,,
Mexico,CONCACAF,18,1030,57.2222,,SF,full,,,,,,,,,,,F,,,,
Belgium,UEFA,18,981.18,54.51,,S2 / S5 / C,full,,,,,F,R16,,,,,F,,,,
USA,CONCACAF,30,1540,51.3333,,S5 / C / SF,full,,,,,F,R16,,,,,,,,,
Greece,UEFA,14,698.38,49.8843,,S2 / S5 / C,full,,,,,F,PO,,,,,F,,,,
Argentina,CONMEBOL,30,1070,35.6667,,F / C,,,,,,,,,,,,,,,,
Switzerland,UEFA,12,391.66,32.6383,,S3 / C,,,,,,,,,,,,,,,,
Scotland,UEFA,12,386.48,32.2067,,S3 / C,,,,,,,,,,,,,,,,
Denmark,UEFA,12,363.98,30.3317,,S3 / C,,,,,,,,,,,,,,,,
Ukraine,UEFA,16,484.35,30.2719,,S3 / C,,,,,,,,,,,,,,,,
United Arab Emirates,AFC,14,401.02,28.6443,,C,,,,,,,,,,,,,,,,
Qatar,AFC,12,338.93,28.2442,,C,,,,,,,,,,,,,,,,
Austria,UEFA,12,338.39,28.1992,,C,,,,,,,,,,,,,,,,
Czechia,UEFA,16,426.93,26.6831,,C,,,,,,,,,,,,,,,,
Norway,UEFA,16,395.9,24.7437,,C,,,,,,,,,,,,,,,,
Poland,UEFA,18,413.13,22.9517,,C,,,,,,,,,,,,,,,,
Serbia,UEFA,14,290.85,20.775,,C,,,,,,,,,,,,,,,,
Croatia,UEFA,10,203.29,20.329,,C,,,,,,,,,,,,,,,,
Sweden,UEFA,16,295.15,18.4469,,C,,,,,,,,,,,,,,,,
Japan,AFC,20,314.55,15.7275,,C,,,,,,,,,,,,,,,,
Bulgaria,UEFA,14,208.6,14.9,,C,,,,,,,,,,,,,,,,
Romania,UEFA,16,227.74,14.2338,,C,,,,,,,,,,,,,,,,
Israel,UEFA,14,187.44,13.3886,,C,,,,,,,,,,,,,,,,
Hungary,UEFA,12,143.18,11.9317,,C,,,,,,,,,,,,,,,,
Ecuador,CONMEBOL,16,187.06,11.6913,,C,,,,,,,,,,,,,,,,
Paraguay,CONMEBOL,12,137.93,11.4942,,C,,,,,,,,,,,,,,,,
Cyprus,UEFA,14,158.43,11.3164,,C,,,,,,,,,,,,,,,,
Chile,CONMEBOL,16,163.66,10.2287,,C,,,,,,,,,,,,,,,,
Korea Republic,AFC,12,122.63,10.2192,,C,,,,,,,,,,,,,,,,
Colombia,CONMEBOL,20,201.78,10.089,,C,,,,,,,,,,,,,,,,
Azerbaijan,UEFA,12,120.98,10.0817,,C,,,,,,,,,,,,,,,,
China PR,AFC,16,160.33,10.0206,,C,,,,,,,,,,,,,,,,
Uruguay,CONMEBOL,16,153.64,9.6025,,F,,,,,,,,,,,,,,,,
South Africa,CAF,16,150.43,9.4019,,C,,,,,,,,,,,,,,,,
Slovakia,UEFA,12,108.67,9.0558,,C,,,,,,,,,,,,,,,,
